line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 05:35:00,1900-01-01 06:10:00,1900-01-01 05:00:00,1900-01-01 05:35:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 06:10:00,1900-01-01 06:45:00,1900-01-01 05:35:00,1900-01-01 06:10:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 06:45:00,1900-01-01 07:20:00,1900-01-01 06:10:00,1900-01-01 06:45:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 07:15:00,1900-01-01 07:50:00,1900-01-01 06:40:00,1900-01-01 07:15:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 07:50:00,1900-01-01 08:30:00,1900-01-01 07:10:00,1900-01-01 07:50:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 08:10:00,1900-01-01 08:50:00,1900-01-01 07:30:00,1900-01-01 08:10:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 08:35:00,1900-01-01 09:20:00,1900-01-01 07:50:00,1900-01-01 08:35:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 09:15:00,1900-01-01 10:00:00,1900-01-01 08:30:00,1900-01-01 09:15:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 09:55:00,1900-01-01 10:44:00,1900-01-01 09:10:00,1900-01-01 09:55:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 10:25:00,1900-01-01 11:20:00,1900-01-01 09:40:00,1900-01-01 10:25:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 11:00:00,1900-01-01 11:55:00,1900-01-01 10:10:00,1900-01-01 11:00:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 11:35:00,1900-01-01 12:30:00,1900-01-01 10:45:00,1900-01-01 11:35:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 12:10:00,1900-01-01 13:05:00,1900-01-01 11:20:00,1900-01-01 12:10:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 12:45:00,1900-01-01 13:40:00,1900-01-01 11:55:00,1900-01-01 12:45:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 13:20:00,1900-01-01 14:15:00,1900-01-01 12:30:00,1900-01-01 13:20:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 13:55:00,1900-01-01 14:50:00,1900-01-01 13:05:00,1900-01-01 13:55:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 14:30:00,1900-01-01 15:25:00,1900-01-01 13:40:00,1900-01-01 14:30:00,4072
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 15:05:00,1900-01-01 16:00:00,1900-01-01 14:15:00,1900-01-01 15:05:00,4073
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 15:40:00,1900-01-01 16:30:00,1900-01-01 14:50:00,1900-01-01 15:40:00,4074
0,ΠΛ. ΑΤΤΙΚΗΣ - ΚΑΛΛΙΘΕΑ - ΜΟΣΧΑΤΟ (ΕΩΣ ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ),PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO (TO EL.BENIZELOY),1,,75,,,,,,,,,1900-01-01 16:13:00,1900-01-01 17:05:00,1900-01-01 15:25:00,1900-01-01 16:15:00,4072
