line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 07:50:00,,1900-01-01 07:05:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 08:40:00,,1900-01-01 07:50:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 09:35:00,,1900-01-01 08:40:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 10:35:00,,1900-01-01 09:35:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 11:55:00,,1900-01-01 10:55:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 13:00:00,,1900-01-01 12:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 14:00:00,,1900-01-01 13:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 15:00:00,,1900-01-01 14:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 16:00:00,,1900-01-01 15:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 17:00:00,,1900-01-01 16:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 17:55:00,,1900-01-01 17:00:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 19:10:00,,1900-01-01 18:15:00,,2508
1,ΣΑΡΩΝΙΔΑ-ΑΝΑΒΥΣΣΟΣ-ΠΑΛΑΙΑ ΦΩΚΑΙΑ (ΚΥΚΛΙΚΗ),SARONIDA-ANAVISSOS-P.FOKAIA,123,,161,,,,,,,,,1900-01-01 20:10:00,,1900-01-01 19:15:00,,2508
