line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 07:15:00,,1900-01-01 06:05:00,,1876
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 08:11:00,,1900-01-01 06:40:00,,1879
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 08:45:00,,1900-01-01 07:15:00,,1876
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 09:20:00,,1900-01-01 07:45:00,,1880
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 09:50:00,,1900-01-01 08:15:00,,1879
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 09:50:00,,1900-01-01 08:15:00,,1879
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 10:18:00,,1900-01-01 08:45:00,,1876
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 10:51:00,,1900-01-01 09:20:00,,1880
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 11:17:00,,1900-01-01 09:50:00,,1879
1,ΜΟΥΣΕΙΟ - ΧΑΛΑΝΔΡΙ (ΣΙΔΕΡΑ) (ΚΥΚΛΙΚΗ),MOYSEIO - CHALANDRI (SIDERA),19Β,,70,,,,,,,,,1900-01-01 11:45:00,,1900-01-01 10:25:00,,1875
