line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,,1900-01-01 05:45:00,,1900-01-01 05:00:00,3284
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,,1900-01-01 06:05:00,,1900-01-01 05:20:00,3286
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,,1900-01-01 06:25:00,,1900-01-01 05:40:00,3287
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,1900-01-01 05:50:00,1900-01-01 06:44:00,1900-01-01 05:00:00,1900-01-01 05:55:00,3285
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,1900-01-01 06:15:00,1900-01-01 07:05:00,1900-01-01 05:25:00,1900-01-01 06:15:00,3288
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,,1900-01-01 07:25:00,,1900-01-01 06:30:00,3291
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,1900-01-01 06:40:00,1900-01-01 07:43:00,1900-01-01 05:45:00,1900-01-01 06:45:00,3284
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,,1900-01-01 07:54:00,,1900-01-01 06:55:00,3290
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,1900-01-01 07:00:00,1900-01-01 08:08:00,1900-01-01 06:05:00,1900-01-01 07:05:00,3286
0,ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ,PEIRAIAS - ST. DAFNI,218,,54,,,,,,,,,1900-01-01 07:15:00,1900-01-01 08:18:00,1900-01-01 07:00:00,1900-01-01 07:15:00,3289
