line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 07:19:00,,1900-01-01 06:34:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 07:47:00,,1900-01-01 06:58:00,,1910
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 08:14:00,,1900-01-01 07:19:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 08:38:00,,1900-01-01 07:40:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 09:01:00,,1900-01-01 08:01:00,,1908
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 09:21:00,,1900-01-01 08:21:00,,1913
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 09:42:00,,1900-01-01 08:42:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 10:01:00,,1900-01-01 09:01:00,,1908
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 10:21:00,,1900-01-01 09:21:00,,1913
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 10:42:00,,1900-01-01 09:42:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 11:06:00,,1900-01-01 10:06:00,,1912
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 11:28:00,,1900-01-01 10:28:00,,1906
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 11:50:00,,1900-01-01 10:50:00,,1910
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 12:14:00,,1900-01-01 11:14:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 12:35:00,,1900-01-01 11:35:00,,1912
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 12:58:00,,1900-01-01 11:58:00,,1907
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 12:58:00,,1900-01-01 11:58:00,,1907
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 13:21:00,,1900-01-01 12:21:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 13:43:00,,1900-01-01 12:42:00,,1908
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 14:09:00,,1900-01-01 13:06:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 14:09:00,,1900-01-01 13:06:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 14:32:00,,1900-01-01 13:29:00,,1906
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 14:55:00,,1900-01-01 13:52:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 15:17:00,,1900-01-01 14:14:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 15:38:00,,1900-01-01 14:35:00,,1906
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 15:59:00,,1900-01-01 14:56:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 16:20:00,,1900-01-01 15:17:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 16:42:00,,1900-01-01 15:39:00,,1906
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 17:06:00,,1900-01-01 16:04:00,,1909
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 17:35:00,,1900-01-01 16:30:00,,1914
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 18:02:00,,1900-01-01 16:57:00,,1908
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 18:30:00,,1900-01-01 17:25:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 19:00:00,,1900-01-01 17:55:00,,1912
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 19:33:00,,1900-01-01 18:30:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 20:00:00,,1900-01-01 19:00:00,,1913
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 20:30:00,,1900-01-01 19:35:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 20:55:00,,1900-01-01 20:00:00,,1913
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 21:23:00,,1900-01-01 20:30:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 21:50:00,,1900-01-01 21:00:00,,1914
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 22:15:00,,1900-01-01 21:30:00,,1908
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 22:45:00,,1900-01-01 22:00:00,,1914
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 23:15:00,,1900-01-01 22:30:00,,1911
1,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),PANEPISTIMIOYPOLI - AKADIMIA ,221,,54,,,,,,,,,1900-01-01 23:45:00,,1900-01-01 23:00:00,,1908
