line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 06:45:00,,1900-01-01 06:00:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 07:35:00,,1900-01-01 06:45:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 08:33:00,,1900-01-01 07:40:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 09:50:00,,1900-01-01 08:55:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 10:45:00,,1900-01-01 09:50:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 11:40:00,,1900-01-01 10:45:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 12:35:00,,1900-01-01 11:40:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 13:30:00,,1900-01-01 12:35:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 14:30:00,,1900-01-01 13:40:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 15:25:00,,1900-01-01 14:30:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 16:20:00,,1900-01-01 15:25:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 17:15:00,,1900-01-01 16:20:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 18:27:00,,1900-01-01 17:35:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 19:20:00,,1900-01-01 18:30:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 20:15:00,,1900-01-01 19:25:00,,1767
1,ΜΕΤΑΜΟΡΦΩΣΗ - ΣΤ. ΑΜΑΡΟΥΣΙΟΥ (ΚΥΚΛΙΚΗ),METAMORFOSI - ST. AMAROUSIOU ,541,,64,,,,,,,,,1900-01-01 21:10:00,,1900-01-01 20:20:00,,1767
