line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,3,5862119,0,0,905,,10,Jan  1 1900 05:40:00:000AM,1900-01-01 06:20:00,,1900-01-01 05:40:00,,3724
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,4,5862096,0,0,905,,14,Jan  1 1900 06:05:00:000AM,1900-01-01 06:45:00,,1900-01-01 06:05:00,,3720
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,5,5862097,0,0,905,,17,Jan  1 1900 06:30:00:000AM,1900-01-01 07:13:00,,1900-01-01 06:30:00,,3719
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,5,5862099,0,0,905,,21,Jan  1 1900 06:55:00:000AM,1900-01-01 07:40:00,,1900-01-01 06:55:00,,3720
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,3,5862130,0,0,905,,24,Jan  1 1900 07:15:00:000AM,1900-01-01 08:00:00,,1900-01-01 07:15:00,,3721
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,3,5862139,0,0,905,,27,Jan  1 1900 07:45:00:000AM,1900-01-01 08:30:00,,1900-01-01 07:45:00,,3722
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,7,5862103,0,0,905,,29,Jan  1 1900 08:00:00:000AM,1900-01-01 08:45:00,,1900-01-01 08:00:00,,3719
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,4,5862140,0,0,905,,34,Jan  1 1900 08:35:00:000AM,1900-01-01 09:20:00,,1900-01-01 08:35:00,,3722
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,7,5862105,0,0,905,,37,Jan  1 1900 08:55:00:000AM,1900-01-01 09:44:00,,1900-01-01 08:55:00,,3720
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,9,5862155,0,0,905,,41,Jan  1 1900 09:25:00:000AM,1900-01-01 10:15:00,,1900-01-01 09:25:00,,3719
1,ΑΧΑΡΝΑΙ- ΑΓ.ΠΕΤΡΟΣ- ΑΓ.ΙΩΑΝΝΗΣ-ΠΛΑΤΩΝΑΣ (ΚΥΚΛΙΚΗ),ACHARNAI - PLATONAS ,728,,157,4,5862149,0,0,905,,44,Jan  1 1900 09:50:00:000AM,1900-01-01 10:40:00,,1900-01-01 09:50:00,,3723
