line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145600,0,0,,886,1,,,1900-01-01 05:45:00,,1900-01-01 05:00:00,2014
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145606,0,0,,886,2,,,1900-01-01 06:15:00,,1900-01-01 05:30:00,2015
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145612,0,0,,886,3,,,1900-01-01 06:41:00,,1900-01-01 05:55:00,2016
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145618,0,0,,886,4,,,1900-01-01 07:10:00,,1900-01-01 06:20:00,2880
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145602,0,0,886,886,1,Jan  1 1900 05:45:00:000AM,1900-01-01 06:25:00,1900-01-01 07:34:00,1900-01-01 05:45:00,1900-01-01 06:40:00,2014
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145608,0,0,886,886,2,Jan  1 1900 06:15:00:000AM,1900-01-01 06:58:00,1900-01-01 07:55:00,1900-01-01 06:15:00,1900-01-01 07:00:00,2015
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145624,0,0,,886,7,,,1900-01-01 08:15:00,,1900-01-01 07:20:00,2017
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145614,0,0,886,886,3,Jan  1 1900 06:45:00:000AM,1900-01-01 07:30:00,1900-01-01 08:30:00,1900-01-01 06:45:00,1900-01-01 07:35:00,2016
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,2,50145629,0,0,,886,9,,,1900-01-01 08:50:00,,1900-01-01 07:55:00,2018
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145620,0,0,886,886,4,Jan  1 1900 07:10:00:000AM,1900-01-01 07:58:00,1900-01-01 09:08:00,1900-01-01 07:10:00,1900-01-01 08:10:00,2880
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145603,0,0,886,886,5,Jan  1 1900 07:35:00:000AM,1900-01-01 08:27:00,1900-01-01 09:30:00,1900-01-01 07:35:00,1900-01-01 08:30:00,2014
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,5,50145634,0,0,,886,11,,,1900-01-01 09:30:00,,1900-01-01 08:30:00,2014
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145609,0,0,886,886,6,Jan  1 1900 07:55:00:000AM,1900-01-01 08:49:00,1900-01-01 09:50:00,1900-01-01 07:55:00,1900-01-01 08:50:00,2015
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145626,0,0,886,886,7,Jan  1 1900 08:15:00:000AM,1900-01-01 09:10:00,1900-01-01 10:10:00,1900-01-01 08:15:00,1900-01-01 09:10:00,2017
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145615,0,0,886,886,8,Jan  1 1900 08:30:00:000AM,1900-01-01 09:25:00,1900-01-01 10:30:00,1900-01-01 08:30:00,1900-01-01 09:30:00,2016
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,3,50145631,0,0,886,886,9,Jan  1 1900 08:50:00:000AM,1900-01-01 09:45:00,1900-01-01 10:50:00,1900-01-01 08:50:00,1900-01-01 09:50:00,2018
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145639,0,0,886,886,11,Jan  1 1900 09:10:00:000AM,1900-01-01 10:05:00,1900-01-01 11:15:00,1900-01-01 09:10:00,1900-01-01 10:15:00,2880
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,6,50145635,0,0,886,886,12,Jan  1 1900 09:30:00:000AM,1900-01-01 10:25:00,1900-01-01 11:40:00,1900-01-01 09:30:00,1900-01-01 10:40:00,2014
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,5,50145610,0,0,886,886,13,Jan  1 1900 09:50:00:000AM,1900-01-01 10:45:00,1900-01-01 12:05:00,1900-01-01 09:50:00,1900-01-01 11:05:00,2015
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145627,0,0,886,886,14,Jan  1 1900 10:10:00:000AM,1900-01-01 11:05:00,1900-01-01 12:28:00,1900-01-01 10:10:00,1900-01-01 11:25:00,2017
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,5,50145616,0,0,886,886,15,Jan  1 1900 10:30:00:000AM,1900-01-01 11:25:00,1900-01-01 12:54:00,1900-01-01 10:30:00,1900-01-01 11:50:00,2016
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,4,50145632,0,0,886,886,16,Jan  1 1900 10:50:00:000AM,1900-01-01 11:45:00,1900-01-01 13:20:00,1900-01-01 10:50:00,1900-01-01 12:15:00,2018
0,ΑΤΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ - ΣΤ. ΜΕΤΡΟ ΑΙΓΑΛΕΩ - ΝΙΚΑΙΑ,ATTIKO NOSOKOMEIO - ST. METRO AIGALEO - NIKAIA,750,,113,6,50145640,0,0,886,886,17,Jan  1 1900 11:15:00:000AM,1900-01-01 12:10:00,1900-01-01 13:40:00,1900-01-01 11:15:00,1900-01-01 12:35:00,2880
