line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 07:15:00,,1900-01-01 05:50:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 08:50:00,,1900-01-01 07:20:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 10:25:00,,1900-01-01 08:50:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 11:44:00,,1900-01-01 10:05:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 12:45:00,,1900-01-01 11:05:00,,3942
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 13:45:00,,1900-01-01 12:05:00,,3941
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 14:50:00,,1900-01-01 13:15:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 16:00:00,,1900-01-01 14:25:00,,3942
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 17:05:00,,1900-01-01 15:30:00,,3941
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,59,,,,,,,,,1900-01-01 18:20:00,,1900-01-01 16:45:00,,3943
