line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 07:35:00,,1900-01-01 06:25:00,,3938
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 09:25:00,,1900-01-01 08:05:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 10:40:00,,1900-01-01 09:15:00,,3941
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 12:10:00,,1900-01-01 10:40:00,,3941
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 13:30:00,,1900-01-01 12:00:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 13:30:00,,1900-01-01 12:00:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 15:00:00,,1900-01-01 13:30:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 16:30:00,,1900-01-01 15:00:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 18:03:00,,1900-01-01 16:30:00,,3939
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 19:30:00,,1900-01-01 17:55:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 21:15:00,,1900-01-01 19:55:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,60,,,,,,,,,1900-01-01 23:25:00,,1900-01-01 22:05:00,,3938
