line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 06:05:00,,1900-01-01 05:25:00,,2049
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 06:35:00,,1900-01-01 05:55:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 06:56:00,,1900-01-01 06:15:00,,2049
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 07:20:00,,1900-01-01 06:35:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 07:35:00,,1900-01-01 06:50:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 07:50:00,,1900-01-01 07:05:00,,2049
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 08:06:00,,1900-01-01 07:20:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 08:25:00,,1900-01-01 07:35:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 08:35:00,,1900-01-01 07:45:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 08:50:00,,1900-01-01 08:00:00,,2049
