line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 17:10:00,1900-01-01 18:05:00,1900-01-01 16:20:00,1900-01-01 17:10:00,2103
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 17:30:00,1900-01-01 18:25:00,1900-01-01 16:40:00,1900-01-01 17:30:00,2107
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 17:45:00,1900-01-01 18:45:00,1900-01-01 16:55:00,1900-01-01 17:50:00,2825
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 18:05:00,1900-01-01 19:05:00,1900-01-01 17:15:00,1900-01-01 18:10:00,2106
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 18:25:00,1900-01-01 19:25:00,1900-01-01 17:35:00,1900-01-01 18:30:00,2824
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 18:40:00,1900-01-01 19:40:00,1900-01-01 17:50:00,1900-01-01 18:45:00,2101
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 18:55:00,1900-01-01 19:55:00,1900-01-01 18:05:00,1900-01-01 19:00:00,2103
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 19:15:00,1900-01-01 20:05:00,1900-01-01 18:25:00,1900-01-01 19:15:00,2823
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 19:35:00,1900-01-01 20:27:00,1900-01-01 18:45:00,1900-01-01 19:35:00,2107
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 19:55:00,1900-01-01 20:45:00,1900-01-01 19:05:00,1900-01-01 19:55:00,2825
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 20:14:00,1900-01-01 21:05:00,1900-01-01 19:25:00,1900-01-01 20:15:00,2106
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 20:30:00,1900-01-01 21:18:00,1900-01-01 19:45:00,1900-01-01 20:30:00,2824
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 20:50:00,1900-01-01 21:36:00,1900-01-01 20:05:00,1900-01-01 20:50:00,2823
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 21:10:00,1900-01-01 21:55:00,1900-01-01 20:25:00,1900-01-01 21:10:00,2103
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 21:30:00,1900-01-01 22:13:00,1900-01-01 20:45:00,1900-01-01 21:30:00,2825
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 21:55:00,1900-01-01 22:35:00,1900-01-01 21:10:00,1900-01-01 21:55:00,2107
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 22:22:00,1900-01-01 23:00:00,1900-01-01 21:40:00,1900-01-01 22:25:00,2106
0,ΠΕΙΡΑΙΑΣ - ΑΙΓΑΛΕΩ,PEIRAIAS - AIGALEO,831,,65,,,,,,,,,1900-01-01 22:45:00,1900-01-01 23:40:00,1900-01-01 22:05:00,1900-01-01 23:00:00,2103
