line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,,1900-01-01 05:40:00,,1900-01-01 05:00:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,,1900-01-01 06:30:00,,1900-01-01 05:50:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 06:30:00,1900-01-01 07:15:00,1900-01-01 05:45:00,1900-01-01 06:35:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 07:15:00,1900-01-01 07:55:00,1900-01-01 06:30:00,1900-01-01 07:15:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 08:00:00,1900-01-01 08:45:00,1900-01-01 07:15:00,1900-01-01 08:00:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 08:50:00,1900-01-01 09:40:00,1900-01-01 08:00:00,1900-01-01 08:50:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,,1900-01-01 10:25:00,,1900-01-01 09:35:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,,1900-01-01 11:00:00,,1900-01-01 10:10:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 10:25:00,1900-01-01 11:30:00,1900-01-01 09:30:00,1900-01-01 10:40:00,2442
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 11:10:00,1900-01-01 12:05:00,1900-01-01 10:15:00,1900-01-01 11:15:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 11:25:00,1900-01-01 12:35:00,1900-01-01 10:30:00,1900-01-01 11:45:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 11:55:00,1900-01-01 13:15:00,1900-01-01 11:00:00,1900-01-01 12:25:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 12:30:00,1900-01-01 13:55:00,1900-01-01 11:35:00,1900-01-01 13:05:00,2442
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 13:30:00,1900-01-01 14:30:00,1900-01-01 12:35:00,1900-01-01 13:40:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 14:10:00,1900-01-01 15:05:00,1900-01-01 13:15:00,1900-01-01 14:15:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 14:50:00,1900-01-01 15:40:00,1900-01-01 13:55:00,1900-01-01 14:50:00,2442
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 15:25:00,1900-01-01 16:15:00,1900-01-01 14:30:00,1900-01-01 15:25:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 16:00:00,1900-01-01 16:55:00,1900-01-01 15:05:00,1900-01-01 16:05:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 16:15:00,1900-01-01 17:40:00,1900-01-01 15:20:00,1900-01-01 16:50:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 17:10:00,1900-01-01 18:20:00,1900-01-01 16:15:00,1900-01-01 17:30:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 17:30:00,1900-01-01 19:00:00,1900-01-01 16:35:00,1900-01-01 18:10:00,2438
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 18:35:00,1900-01-01 19:40:00,1900-01-01 17:40:00,1900-01-01 18:50:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 19:35:00,1900-01-01 20:20:00,1900-01-01 18:40:00,1900-01-01 19:35:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 20:13:00,1900-01-01 21:10:00,1900-01-01 19:20:00,1900-01-01 20:25:00,2442
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 21:10:00,1900-01-01 22:05:00,1900-01-01 20:20:00,1900-01-01 21:20:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 22:00:00,1900-01-01 23:00:00,1900-01-01 21:10:00,1900-01-01 22:20:00,2442
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 22:50:00,1900-01-01 23:50:00,1900-01-01 22:05:00,1900-01-01 23:10:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ,STATHMOS LARISIS - ACHARNAI,Α10,,60,,,,,,,,,1900-01-01 23:45:00,1900-01-02 00:40:00,1900-01-01 23:00:00,1900-01-02 00:00:00,2442
