line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,,1900-01-01 05:30:00,,1900-01-01 05:00:00,4386
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 05:30:00,1900-01-01 06:00:00,1900-01-01 05:00:00,1900-01-01 05:30:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 05:55:00,1900-01-01 06:25:00,1900-01-01 05:25:00,1900-01-01 05:55:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,,1900-01-01 06:45:00,,1900-01-01 06:10:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 06:18:00,1900-01-01 07:00:00,1900-01-01 05:45:00,1900-01-01 06:25:00,4386
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 06:40:00,1900-01-01 07:15:00,1900-01-01 06:05:00,1900-01-01 06:40:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 07:00:00,1900-01-01 07:35:00,1900-01-01 06:25:00,1900-01-01 07:00:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 07:20:00,1900-01-01 07:55:00,1900-01-01 06:45:00,1900-01-01 07:20:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 07:35:00,1900-01-01 08:10:00,1900-01-01 07:00:00,1900-01-01 07:35:00,4386
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 07:50:00,1900-01-01 08:25:00,1900-01-01 07:15:00,1900-01-01 07:50:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,,1900-01-01 08:40:00,,1900-01-01 08:05:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 08:10:00,1900-01-01 08:55:00,1900-01-01 07:35:00,1900-01-01 08:20:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 08:30:00,1900-01-01 09:10:00,1900-01-01 07:55:00,1900-01-01 08:35:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,,1900-01-01 09:25:00,,1900-01-01 08:50:00,4392
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 09:00:00,1900-01-01 09:40:00,1900-01-01 08:25:00,1900-01-01 09:05:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 08:45:00,1900-01-01 09:55:00,1900-01-01 08:10:00,1900-01-01 09:20:00,4386
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 09:15:00,1900-01-01 10:10:00,1900-01-01 08:40:00,1900-01-01 09:35:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 09:30:00,1900-01-01 10:28:00,1900-01-01 08:55:00,1900-01-01 09:50:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 09:45:00,1900-01-01 10:45:00,1900-01-01 09:10:00,1900-01-01 10:05:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 10:00:00,1900-01-01 11:00:00,1900-01-01 09:25:00,1900-01-01 10:20:00,4392
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 10:15:00,1900-01-01 11:15:00,1900-01-01 09:40:00,1900-01-01 10:35:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 10:45:00,1900-01-01 11:25:00,1900-01-01 10:10:00,1900-01-01 10:45:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 10:30:00,1900-01-01 11:35:00,1900-01-01 09:55:00,1900-01-01 10:55:00,4386
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 11:05:00,1900-01-01 11:45:00,1900-01-01 10:30:00,1900-01-01 11:05:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 11:20:00,1900-01-01 12:00:00,1900-01-01 10:45:00,1900-01-01 11:20:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 11:35:00,1900-01-01 12:15:00,1900-01-01 11:00:00,1900-01-01 11:35:00,4392
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 11:50:00,1900-01-01 12:30:00,1900-01-01 11:15:00,1900-01-01 11:50:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 12:05:00,1900-01-01 12:45:00,1900-01-01 11:30:00,1900-01-01 12:05:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,,1900-01-01 23:20:00,,1900-01-01 22:50:00,4378
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 12:20:00,1900-01-01 12:55:00,1900-01-01 11:45:00,1900-01-01 12:20:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 12:35:00,1900-01-01 13:15:00,1900-01-01 12:00:00,1900-01-01 12:35:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 12:50:00,1900-01-01 13:30:00,1900-01-01 12:15:00,1900-01-01 12:50:00,4392
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 13:05:00,1900-01-01 13:45:00,1900-01-01 12:30:00,1900-01-01 13:05:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 13:20:00,1900-01-01 14:00:00,1900-01-01 12:45:00,1900-01-01 13:20:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 13:35:00,1900-01-01 14:15:00,1900-01-01 13:00:00,1900-01-01 13:35:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 13:50:00,1900-01-01 14:30:00,1900-01-01 13:15:00,1900-01-01 13:50:00,4389
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 14:05:00,1900-01-01 14:45:00,1900-01-01 13:30:00,1900-01-01 14:05:00,4392
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 14:20:00,1900-01-01 15:00:00,1900-01-01 13:45:00,1900-01-01 14:20:00,4387
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 14:35:00,1900-01-01 15:15:00,1900-01-01 14:00:00,1900-01-01 14:35:00,4391
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 14:50:00,1900-01-01 15:30:00,1900-01-01 14:15:00,1900-01-01 14:50:00,4388
0,ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ,ST. LARISIS - DASOS,Α15,,59,,,,,,,,,1900-01-01 15:05:00,1900-01-01 15:45:00,1900-01-01 14:30:00,1900-01-01 15:05:00,4389
