line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 06:20:00,1900-01-01 07:10:00,1900-01-01 05:30:00,1900-01-01 06:20:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 06:55:00,1900-01-01 07:45:00,1900-01-01 06:05:00,1900-01-01 06:55:00,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 07:25:00,1900-01-01 08:15:00,1900-01-01 06:35:00,1900-01-01 07:25:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 08:05:00,1900-01-01 09:20:00,1900-01-01 07:10:00,1900-01-01 08:25:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 08:40:00,1900-01-01 09:55:00,1900-01-01 07:45:00,1900-01-01 09:00:00,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 09:10:00,1900-01-01 10:30:00,1900-01-01 08:15:00,1900-01-01 09:30:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 09:40:00,1900-01-01 11:00:00,1900-01-01 08:45:00,1900-01-01 10:00:00,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 10:06:00,1900-01-01 11:35:00,1900-01-01 09:10:00,1900-01-01 10:30:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 10:34:00,1900-01-01 12:25:00,1900-01-01 09:35:00,1900-01-01 11:20:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 10:55:00,1900-01-01 12:00:00,1900-01-01 09:55:00,1900-01-01 10:55:00,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 11:25:00,1900-01-01 13:40:00,1900-01-01 10:20:00,1900-01-01 12:35:00,2238
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 11:45:00,1900-01-01 12:50:00,1900-01-01 10:40:00,1900-01-01 11:45:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 12:10:00,1900-01-01 13:15:00,1900-01-01 11:05:00,1900-01-01 12:10:00,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 12:40:00,1900-01-01 14:05:00,1900-01-01 11:35:00,1900-01-01 13:00:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 13:00:00,,1900-01-01 12:00:00,,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 13:30:00,1900-01-01 14:35:00,1900-01-01 12:25:00,1900-01-01 13:30:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 13:30:00,,1900-01-01 12:25:00,,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 13:55:00,1900-01-01 15:00:00,1900-01-01 12:50:00,1900-01-01 13:55:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 13:55:00,,1900-01-01 12:50:00,,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 14:20:00,1900-01-01 15:25:00,1900-01-01 13:15:00,1900-01-01 14:20:00,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 14:45:00,1900-01-01 15:50:00,1900-01-01 13:40:00,1900-01-01 14:45:00,2238
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 15:09:00,1900-01-01 16:15:00,1900-01-01 14:05:00,1900-01-01 15:10:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 15:38:00,1900-01-01 16:45:00,1900-01-01 14:35:00,1900-01-01 15:40:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 16:00:00,1900-01-01 17:05:00,1900-01-01 15:00:00,1900-01-01 16:00:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 16:25:00,1900-01-01 17:30:00,1900-01-01 15:25:00,1900-01-01 16:25:00,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 16:50:00,1900-01-01 17:55:00,1900-01-01 15:50:00,1900-01-01 16:50:00,2238
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 17:15:00,,1900-01-01 16:15:00,,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 17:15:00,1900-01-01 18:20:00,1900-01-01 16:15:00,1900-01-01 17:15:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 17:45:00,1900-01-01 19:33:00,1900-01-01 16:45:00,1900-01-01 18:30:00,2234
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 18:05:00,1900-01-01 19:10:00,1900-01-01 17:05:00,1900-01-01 18:05:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 18:30:00,1900-01-01 20:55:00,1900-01-01 17:30:00,1900-01-01 19:55:00,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 18:55:00,1900-01-01 19:55:00,1900-01-01 17:55:00,1900-01-01 18:55:00,2238
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 19:25:00,1900-01-01 20:25:00,1900-01-01 18:25:00,1900-01-01 19:25:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 19:55:00,1900-01-01 22:04:00,1900-01-01 18:55:00,1900-01-01 21:05:00,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 20:25:00,1900-01-01 21:30:00,1900-01-01 19:25:00,1900-01-01 20:30:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 20:55:00,1900-01-01 23:09:00,1900-01-01 19:55:00,1900-01-01 22:15:00,2238
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 21:25:00,1900-01-01 22:40:00,1900-01-01 20:25:00,1900-01-01 21:45:00,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 21:55:00,,1900-01-01 20:55:00,,2236
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 22:28:00,1900-01-01 23:41:00,1900-01-01 21:30:00,1900-01-01 22:50:00,2233
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 23:00:00,1900-01-02 00:15:00,1900-01-01 22:05:00,1900-01-01 23:25:00,2235
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-01 23:32:00,,1900-01-01 22:40:00,,2237
0,ΑΚΑΔΗΜΙΑ - ΒΟΥΛΑ (ΜΕΣΩ Λ. ΑΜΦΙΘΕΑΣ),AKADIMIA - VOULA (VIA L. AMFITHEAS),Α2,,60,,,,,,,,,1900-01-02 00:00:00,1900-01-02 00:50:00,1900-01-01 23:15:00,1900-01-02 00:00:00,2238
