line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,2,50164356,0,0,965,965,1,Jan  1 1900 05:00:00:000AM,1900-01-01 05:50:00,1900-01-01 06:38:00,1900-01-01 05:00:00,1900-01-01 05:50:00,2248
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,2,50164368,0,0,965,965,2,Jan  1 1900 05:25:00:000AM,1900-01-01 06:17:00,1900-01-01 07:24:00,1900-01-01 05:25:00,1900-01-01 06:20:00,2250
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,3,50164352,0,0,965,965,3,Jan  1 1900 05:45:00:000AM,1900-01-01 06:40:00,1900-01-01 07:53:00,1900-01-01 05:45:00,1900-01-01 06:45:00,2247
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,3,50164362,0,0,965,965,5,Jan  1 1900 06:20:00:000AM,1900-01-01 07:30:00,1900-01-01 08:45:00,1900-01-01 06:20:00,1900-01-01 07:25:00,2249
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,2,50164378,0,0,965,965,6,Jan  1 1900 06:35:00:000AM,1900-01-01 07:50:00,1900-01-01 09:05:00,1900-01-01 06:35:00,1900-01-01 07:50:00,2252
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,3,50164357,0,0,965,965,7,Jan  1 1900 06:50:00:000AM,1900-01-01 08:08:00,1900-01-01 09:25:00,1900-01-01 06:50:00,1900-01-01 08:10:00,2248
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,3,50164374,0,0,965,965,8,Jan  1 1900 07:05:00:000AM,1900-01-01 08:25:00,1900-01-01 09:40:00,1900-01-01 07:05:00,1900-01-01 08:25:00,2251
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,3,50164369,0,0,965,965,9,Jan  1 1900 07:25:00:000AM,1900-01-01 08:45:00,1900-01-01 10:00:00,1900-01-01 07:25:00,1900-01-01 08:45:00,2250
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,2,50164387,0,0,965,965,10,Jan  1 1900 07:40:00:000AM,1900-01-01 09:00:00,1900-01-01 10:15:00,1900-01-01 07:40:00,1900-01-01 09:00:00,2254
0,ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ),STOYRNARI - KIFISIA (PLATEIA PLATANOU),Α7,,54,2,50164391,0,0,965,965,11,Jan  1 1900 08:00:00:000AM,1900-01-01 09:20:00,1900-01-01 10:35:00,1900-01-01 08:00:00,1900-01-01 09:20:00,2255
