line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,2,50149273,0,0,1021,1020,1,Jan  1 1900 05:15:00:000AM,1900-01-01 06:00:00,1900-01-01 06:50:00,1900-01-01 05:15:00,1900-01-01 06:00:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149257,0,0,1021,1021,2,Jan  1 1900 05:40:00:000AM,1900-01-01 06:25:00,1900-01-01 07:15:00,1900-01-01 05:40:00,1900-01-01 06:26:00,2438
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149268,0,0,1021,1020,3,Jan  1 1900 06:00:00:000AM,1900-01-01 06:50:00,1900-01-01 08:00:00,1900-01-01 06:00:00,1900-01-01 07:05:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50158630,0,0,1021,,4,Jan  1 1900 06:20:00:000AM,1900-01-01 07:12:00,,1900-01-01 06:20:00,,3942
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50158643,0,0,1021,,5,Jan  1 1900 06:39:00:000AM,1900-01-01 07:34:00,,1900-01-01 06:39:00,,3944
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149289,0,0,1021,1020,7,Jan  1 1900 07:12:00:000AM,1900-01-01 08:13:00,1900-01-01 09:15:00,1900-01-01 07:12:00,1900-01-01 08:20:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149295,0,0,1021,1021,8,Jan  1 1900 07:28:00:000AM,1900-01-01 08:30:00,1900-01-01 09:25:00,1900-01-01 07:28:00,1900-01-01 08:30:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149253,0,0,1021,1021,9,Jan  1 1900 07:44:00:000AM,1900-01-01 08:49:00,1900-01-01 10:05:00,1900-01-01 07:44:00,1900-01-01 09:10:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149269,0,0,1021,1021,10,Jan  1 1900 08:00:00:000AM,1900-01-01 09:05:00,1900-01-01 10:25:00,1900-01-01 08:00:00,1900-01-01 09:30:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149322,0,0,1021,1020,11,Jan  1 1900 08:15:00:000AM,1900-01-01 09:20:00,1900-01-01 10:15:00,1900-01-01 08:15:00,1900-01-01 09:20:00,2449
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,3,50149327,0,0,1021,1021,12,Jan  1 1900 08:29:00:000AM,1900-01-01 09:34:00,1900-01-01 11:05:00,1900-01-01 08:29:00,1900-01-01 10:10:00,2450
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149290,0,0,1021,,16,Jan  1 1900 09:15:00:000AM,1900-01-01 10:20:00,,1900-01-01 09:15:00,,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149344,0,0,1021,1020,15,Jan  1 1900 09:15:00:000AM,1900-01-01 10:20:00,1900-01-01 11:15:00,1900-01-01 09:15:00,1900-01-01 10:20:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149301,0,0,1021,1020,17,Jan  1 1900 09:35:00:000AM,1900-01-01 10:40:00,1900-01-01 12:14:00,1900-01-01 09:35:00,1900-01-01 11:19:00,2445
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149306,0,0,1021,1021,18,Jan  1 1900 09:55:00:000AM,1900-01-01 11:00:00,1900-01-01 12:22:00,1900-01-01 09:55:00,1900-01-01 11:27:00,2446
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149323,0,0,1021,1020,19,Jan  1 1900 10:15:00:000AM,1900-01-01 11:20:00,1900-01-01 12:48:00,1900-01-01 10:15:00,1900-01-01 11:53:00,2449
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,4,50149318,0,0,1021,1021,20,Jan  1 1900 10:35:00:000AM,1900-01-01 11:40:00,1900-01-01 12:39:00,1900-01-01 10:35:00,1900-01-01 11:44:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,6,50149341,0,0,1021,1021,21,Jan  1 1900 10:55:00:000AM,1900-01-01 11:58:00,1900-01-01 13:13:00,1900-01-01 10:55:00,1900-01-01 12:18:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,6,50149345,0,0,1021,1020,22,Jan  1 1900 11:15:00:000AM,1900-01-01 12:20:00,1900-01-01 13:39:00,1900-01-01 11:15:00,1900-01-01 12:44:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149297,0,1,1021,1020,24,Jan  1 1900 11:55:00:000AM,1900-01-01 13:00:00,1900-01-01 13:56:00,1900-01-01 11:55:00,1900-01-01 13:01:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149302,0,1,1021,1020,25,Jan  1 1900 12:14:00:000PM,1900-01-01 13:19:00,1900-01-01 14:14:00,1900-01-01 12:14:00,1900-01-01 13:19:00,2445
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,6,50149358,0,0,1021,1020,26,Jan  1 1900 12:31:00:000PM,1900-01-01 13:36:00,1900-01-01 14:31:00,1900-01-01 12:31:00,1900-01-01 13:36:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149324,0,0,1021,1020,27,Jan  1 1900 12:48:00:000PM,1900-01-01 13:53:00,1900-01-01 14:48:00,1900-01-01 12:48:00,1900-01-01 13:53:00,2449
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149329,0,0,1021,1020,28,Jan  1 1900 01:05:00:000PM,1900-01-01 14:10:00,1900-01-01 15:05:00,1900-01-01 13:05:00,1900-01-01 14:10:00,2450
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,5,50149334,0,0,1021,1020,29,Jan  1 1900 01:25:00:000PM,1900-01-01 14:30:00,1900-01-01 15:25:00,1900-01-01 13:25:00,1900-01-01 14:30:00,2754
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,7,50149349,0,0,1021,1020,32,Jan  1 1900 02:09:00:000PM,1900-01-01 15:14:00,1900-01-01 16:05:00,1900-01-01 14:09:00,1900-01-01 15:10:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,6,50149368,0,0,1021,1020,33,Jan  1 1900 02:20:00:000PM,1900-01-01 15:25:00,1900-01-01 16:25:00,1900-01-01 14:20:00,1900-01-01 15:30:00,2446
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,7,50149291,0,0,1021,1020,34,Jan  1 1900 02:41:00:000PM,1900-01-01 15:46:00,1900-01-01 16:41:00,1900-01-01 14:41:00,1900-01-01 15:46:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,9,50149277,0,0,1021,,35,Jan  1 1900 02:57:00:000PM,1900-01-01 16:02:00,,1900-01-01 14:57:00,,2439
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,8,50149395,0,0,1021,1020,36,Jan  1 1900 02:57:00:000PM,1900-01-01 16:02:00,1900-01-01 16:57:00,1900-01-01 14:57:00,1900-01-01 16:02:00,2439
