line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171436,0,0,,1023,1,,,1900-01-01 05:45:00,,1900-01-01 04:50:00,2327
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171441,0,0,,1023,2,,,1900-01-01 06:05:00,,1900-01-01 05:10:00,2328
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171451,0,0,,1023,3,,,1900-01-01 06:27:00,,1900-01-01 05:30:00,2330
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171461,0,0,,1023,4,,,1900-01-01 06:50:00,,1900-01-01 05:50:00,2332
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171468,0,0,,1023,5,,,1900-01-01 07:12:00,,1900-01-01 06:05:00,2333
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171447,0,0,1023,1023,1,Jan  1 1900 05:10:00:000AM,1900-01-01 06:11:00,1900-01-01 07:29:00,1900-01-01 05:10:00,1900-01-01 06:20:00,2329
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171457,0,0,1023,1023,2,Jan  1 1900 05:30:00:000AM,1900-01-01 06:33:00,1900-01-01 07:45:00,1900-01-01 05:30:00,1900-01-01 06:35:00,2331
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,3,50171438,0,0,1023,1023,3,Jan  1 1900 05:45:00:000AM,1900-01-01 06:50:00,1900-01-01 08:00:00,1900-01-01 05:45:00,1900-01-01 06:50:00,2327
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171474,0,0,1023,1023,4,Jan  1 1900 06:00:00:000AM,1900-01-01 07:05:00,1900-01-01 08:20:00,1900-01-01 06:00:00,1900-01-01 07:05:00,2334
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,3,50171443,0,0,1023,1023,5,Jan  1 1900 06:10:00:000AM,1900-01-01 07:16:00,1900-01-01 08:35:00,1900-01-01 06:10:00,1900-01-01 07:20:00,2328
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171479,0,0,1023,1023,6,Jan  1 1900 06:25:00:000AM,1900-01-01 07:33:00,1900-01-01 08:50:00,1900-01-01 06:25:00,1900-01-01 07:35:00,2335
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,3,50171453,0,0,1023,1023,7,Jan  1 1900 06:35:00:000AM,1900-01-01 07:44:00,1900-01-01 09:00:00,1900-01-01 06:35:00,1900-01-01 07:45:00,2330
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,3,50171470,0,0,1023,1023,10,Jan  1 1900 07:10:00:000AM,1900-01-01 08:20:00,1900-01-01 09:50:00,1900-01-01 07:10:00,1900-01-01 08:40:00,2333
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,2,50171487,0,0,1023,1023,11,Jan  1 1900 07:18:00:000AM,1900-01-01 08:32:00,1900-01-01 09:55:00,1900-01-01 07:18:00,1900-01-01 08:50:00,2337
0,ΧΑΛΚΟΚΟΝΔΥΛΗ - ΜΕΤΑΜΟΡΦΩΣΗ - Ν. ΚΗΦΙΣΙΑ,CHALKOKONDYLI - METAMORFOSI - N. KIFISIA,Β9,,54,4,50171502,0,0,1023,1023,14,Jan  1 1900 07:50:00:000AM,1900-01-01 09:07:00,1900-01-01 10:25:00,1900-01-01 07:50:00,1900-01-01 09:17:00,2331
