line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 06:15:00,1900-01-01 06:55:00,1900-01-01 05:40:00,1900-01-01 06:15:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 06:36:00,1900-01-01 07:20:00,1900-01-01 06:00:00,1900-01-01 06:40:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 06:58:00,1900-01-01 07:50:00,1900-01-01 06:20:00,1900-01-01 07:00:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 07:25:00,1900-01-01 08:19:00,1900-01-01 06:40:00,1900-01-01 07:25:00,2343
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 07:45:00,1900-01-01 08:40:00,1900-01-01 07:00:00,1900-01-01 07:45:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 08:05:00,1900-01-01 09:00:00,1900-01-01 07:20:00,1900-01-01 08:05:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 08:25:00,1900-01-01 09:20:00,1900-01-01 07:35:00,1900-01-01 08:25:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 08:43:00,1900-01-01 09:40:00,1900-01-01 07:50:00,1900-01-01 08:45:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 09:05:00,1900-01-01 10:05:00,1900-01-01 08:10:00,1900-01-01 09:10:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 09:20:00,1900-01-01 10:30:00,1900-01-01 08:25:00,1900-01-01 09:35:00,2343
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 09:34:00,1900-01-01 10:50:00,1900-01-01 08:40:00,1900-01-01 09:55:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 10:15:00,1900-01-01 11:10:00,1900-01-01 09:25:00,1900-01-01 10:15:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 09:51:00,1900-01-01 11:30:00,1900-01-01 09:00:00,1900-01-01 10:35:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 10:35:00,1900-01-01 11:50:00,1900-01-01 09:45:00,1900-01-01 10:55:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 10:55:00,1900-01-01 12:10:00,1900-01-01 10:05:00,1900-01-01 11:15:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 11:20:00,1900-01-01 12:35:00,1900-01-01 10:30:00,1900-01-01 11:40:00,2343
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 11:40:00,1900-01-01 12:55:00,1900-01-01 10:50:00,1900-01-01 12:00:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 12:20:00,1900-01-01 13:15:00,1900-01-01 11:30:00,1900-01-01 12:20:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 12:00:00,1900-01-01 13:30:00,1900-01-01 11:10:00,1900-01-01 12:35:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 12:40:00,1900-01-01 13:45:00,1900-01-01 11:50:00,1900-01-01 12:50:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 13:00:00,1900-01-01 14:00:00,1900-01-01 12:10:00,1900-01-01 13:05:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 13:25:00,1900-01-01 14:20:00,1900-01-01 12:35:00,1900-01-01 13:25:00,2343
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 13:45:00,1900-01-01 14:40:00,1900-01-01 12:55:00,1900-01-01 13:45:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 14:05:00,1900-01-01 15:00:00,1900-01-01 13:15:00,1900-01-01 14:05:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 14:20:00,1900-01-01 15:15:00,1900-01-01 13:30:00,1900-01-01 14:20:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 14:35:00,1900-01-01 15:30:00,1900-01-01 13:45:00,1900-01-01 14:35:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 14:50:00,1900-01-01 15:50:00,1900-01-01 14:00:00,1900-01-01 14:55:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 15:10:00,1900-01-01 16:05:00,1900-01-01 14:20:00,1900-01-01 15:10:00,2343
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 15:35:00,1900-01-01 16:30:00,1900-01-01 14:40:00,1900-01-01 15:35:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,,,,,,,,,1900-01-01 15:55:00,1900-01-01 16:50:00,1900-01-01 15:00:00,1900-01-01 15:55:00,2344
