line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50206124,0,0,1383,1383,1,Jan  1 1900 05:40:00:000AM,1900-01-01 06:15:00,1900-01-01 06:55:00,1900-01-01 05:40:00,1900-01-01 06:15:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50206129,0,0,1383,1383,2,Jan  1 1900 06:00:00:000AM,1900-01-01 06:36:00,1900-01-01 07:20:00,1900-01-01 06:00:00,1900-01-01 06:40:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50206134,0,0,1383,1383,3,Jan  1 1900 06:20:00:000AM,1900-01-01 06:58:00,1900-01-01 07:50:00,1900-01-01 06:20:00,1900-01-01 07:05:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50206125,0,0,1383,1383,5,Jan  1 1900 06:55:00:000AM,1900-01-01 07:45:00,1900-01-01 08:30:00,1900-01-01 06:55:00,1900-01-01 07:35:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50206144,1,0,1383,1383,6,Jan  1 1900 07:20:00:000AM,1900-01-01 08:05:00,1900-01-01 09:05:00,1900-01-01 07:20:00,1900-01-01 08:10:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50206135,0,0,1383,1383,8,Jan  1 1900 07:50:00:000AM,1900-01-01 08:43:00,1900-01-01 09:35:00,1900-01-01 07:50:00,1900-01-01 08:40:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50206149,0,0,1383,1383,9,Jan  1 1900 08:10:00:000AM,1900-01-01 09:05:00,1900-01-01 10:10:00,1900-01-01 08:10:00,1900-01-01 09:15:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,4,50206126,0,0,1383,1383,11,Jan  1 1900 08:35:00:000AM,1900-01-01 09:29:00,1900-01-01 10:50:00,1900-01-01 08:35:00,1900-01-01 09:55:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50206145,0,0,1383,1383,12,Jan  1 1900 09:00:00:000AM,1900-01-01 09:51:00,1900-01-01 11:30:00,1900-01-01 09:00:00,1900-01-01 10:35:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,4,50206136,0,0,1383,1383,14,Jan  1 1900 09:40:00:000AM,1900-01-01 10:30:00,1900-01-01 11:50:00,1900-01-01 09:40:00,1900-01-01 10:55:00,2342
