line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50171569,0,0,1383,1383,1,Jan  1 1900 05:40:00:000AM,1900-01-01 06:15:00,1900-01-01 06:55:00,1900-01-01 05:40:00,1900-01-01 06:15:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50171574,0,0,1383,1383,2,Jan  1 1900 06:00:00:000AM,1900-01-01 06:36:00,1900-01-01 07:20:00,1900-01-01 06:00:00,1900-01-01 06:40:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50171579,0,0,1383,1383,3,Jan  1 1900 06:20:00:000AM,1900-01-01 06:58:00,1900-01-01 07:55:00,1900-01-01 06:20:00,1900-01-01 07:05:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50171570,0,0,1383,1383,5,Jan  1 1900 06:55:00:000AM,1900-01-01 07:45:00,1900-01-01 08:35:00,1900-01-01 06:55:00,1900-01-01 07:40:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50171589,0,0,1383,1383,6,Jan  1 1900 07:15:00:000AM,1900-01-01 08:00:00,1900-01-01 09:05:00,1900-01-01 07:15:00,1900-01-01 08:05:00,2344
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50171575,0,1,1383,1383,7,Jan  1 1900 07:30:00:000AM,1900-01-01 08:25:00,1900-01-01 09:20:00,1900-01-01 07:30:00,1900-01-01 08:25:00,2341
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50171580,0,0,1383,1383,8,Jan  1 1900 07:50:00:000AM,1900-01-01 08:43:00,1900-01-01 09:35:00,1900-01-01 07:50:00,1900-01-01 08:40:00,2342
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,2,50171594,0,0,1383,1383,9,Jan  1 1900 08:10:00:000AM,1900-01-01 09:05:00,1900-01-01 10:10:00,1900-01-01 08:10:00,1900-01-01 09:15:00,2345
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,4,50171571,0,0,1383,1383,11,Jan  1 1900 08:35:00:000AM,1900-01-01 09:29:00,1900-01-01 10:45:00,1900-01-01 08:35:00,1900-01-01 09:50:00,2340
0,ΣΥΝΤΑΓΜΑ - Ο.Α.Κ.Α. - ΥΠ. ΠΑΙΔΕΙΑΣ (EXPRESS),SYNTAGMA - O.A.K.A. - YP. PAIDEIAS (EXPRESS),Ε14,,54,3,50171590,0,0,1383,1383,12,Jan  1 1900 09:05:00:000AM,1900-01-01 09:56:00,1900-01-01 11:25:00,1900-01-01 09:05:00,1900-01-01 10:30:00,2344
