line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 09:30:00,,1900-01-01 08:30:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 10:00:00,,1900-01-01 09:00:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 10:30:00,,1900-01-01 09:30:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 11:05:00,,1900-01-01 10:00:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 11:40:00,,1900-01-01 10:35:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 12:30:00,,1900-01-01 11:25:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 13:05:00,,1900-01-01 12:00:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 13:35:00,,1900-01-01 12:30:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 14:10:00,,1900-01-01 13:05:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 14:40:00,,1900-01-01 13:35:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 15:15:00,,1900-01-01 14:10:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 15:45:00,,1900-01-01 14:40:00,,2454
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 16:20:00,,1900-01-01 15:15:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 16:20:00,,1900-01-01 15:15:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 17:25:00,,1900-01-01 16:20:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 18:30:00,,1900-01-01 17:25:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 19:35:00,,1900-01-01 18:30:00,,2453
1, ΠΕΙΡΑΙΑΣ - ΑΚΡΟΠΟΛΗ - ΣΥΝΤΑΓΜΑ (EXPRESS) (ΚΥΚΛΙΚΗ),PEIRAIAS - AKROPOLI - SYNTAGMA (EXPRESS),Χ80,,60,,,,,,,,,1900-01-01 20:40:00,,1900-01-01 19:35:00,,2453
