line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142707,0,0,892,892,5,Jan  1 1900 05:00:00:000AM,1900-01-01 06:20:00,1900-01-01 08:04:00,1900-01-01 05:00:00,1900-01-01 06:30:00,4353
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142715,0,0,892,892,7,Jan  1 1900 05:20:00:000AM,1900-01-01 06:43:00,1900-01-01 08:33:00,1900-01-01 05:20:00,1900-01-01 06:55:00,4354
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142719,0,0,892,892,10,Jan  1 1900 05:40:00:000AM,1900-01-01 07:08:00,1900-01-01 09:00:00,1900-01-01 05:40:00,1900-01-01 07:20:00,4355
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142722,0,0,892,892,12,Jan  1 1900 06:00:00:000AM,1900-01-01 07:33:00,1900-01-01 09:20:00,1900-01-01 06:00:00,1900-01-01 07:40:00,4356
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142730,0,0,892,892,16,Jan  1 1900 06:20:00:000AM,1900-01-01 07:58:00,1900-01-01 09:40:00,1900-01-01 06:20:00,1900-01-01 08:00:00,4357
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142733,0,0,892,892,18,Jan  1 1900 06:40:00:000AM,1900-01-01 08:20:00,1900-01-01 10:00:00,1900-01-01 06:40:00,1900-01-01 08:20:00,4358
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142736,0,0,892,892,20,Jan  1 1900 07:00:00:000AM,1900-01-01 08:40:00,1900-01-01 10:35:00,1900-01-01 07:00:00,1900-01-01 08:55:00,4359
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142739,0,0,892,892,23,Jan  1 1900 07:20:00:000AM,1900-01-01 09:00:00,1900-01-01 11:00:00,1900-01-01 07:20:00,1900-01-01 09:20:00,4360
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142745,0,0,892,892,27,Jan  1 1900 08:00:00:000AM,1900-01-01 09:40:00,1900-01-01 11:30:00,1900-01-01 08:00:00,1900-01-01 09:50:00,4362
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,2,50142748,0,0,892,892,29,Jan  1 1900 08:20:00:000AM,1900-01-01 10:00:00,1900-01-01 11:40:00,1900-01-01 08:20:00,1900-01-01 10:00:00,4363
0,ΠΕΙΡΑΙΑΣ - ΑΕΡ/ΝΑΣ ΑΘΗΝΩΝ (EXPRESS),PEIRAIAS - AEROLIMENAS ATHINON (EXPRESS),Χ96,,81,3,50142711,0,0,892,892,30,Jan  1 1900 08:40:00:000AM,1900-01-01 10:20:00,1900-01-01 12:00:00,1900-01-01 08:40:00,1900-01-01 10:20:00,4353
